,Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,Region,Year,3P_Rate,TopTeamThisYear?,best_pts,top_pts_sum,best_ast,top_ast_sum,best_per,top_per_avg,age,Year_Bin,Status,best_pts_scaled,top_pts_sum_scaled,best_ast_scaled,top_ast_sum_scaled
0,12,18.0,Chicago Bulls*,66,241.5,37.4,82.8,0.452,6.3,16.9,0.375,31.0,65.8,0.471,15.2,21.1,0.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3,0.758,East,2012,0.2041062801932367,True,21.8,52.1,7.9,15.0,23.0,20.77,27.44,2012-2014,Playoffs,0.22637590861889928,0.5410176531671859,0.341991341991342,0.6493506493506493
1,28,2.0,San Antonio Spurs*,66,241.5,39.6,82.8,0.478,8.4,21.3,0.393,31.2,61.5,0.507,16.2,21.6,0.748,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7,0.758,West,2012,0.2572463768115942,True,18.3,46.6,7.7,14.500000000000002,24.1,22.87,28.0,2012-2014,Playoffs,0.17647058823529413,0.4493731918997107,0.33189655172413796,0.6250000000000001
2,27,3.0,Oklahoma City Thunder*,66,242.3,37.3,79.2,0.471,7.2,20.0,0.358,30.2,59.3,0.509,21.3,26.4,0.806,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,0.712,West,2012,0.2525252525252525,True,28.0,68.4,5.5,12.7,26.2,23.4,26.0,2012-2014,Playoffs,0.27158098933074687,0.6634335596508245,0.2972972972972973,0.6864864864864865
3,23,7.0,Miami Heat*,66,243.0,37.1,79.0,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,0.697,East,2012,0.1974683544303797,True,27.1,67.2,6.2,14.3,30.7,25.3,28.5,2012-2014,Playoffs,0.2751269035532995,0.6822335025380711,0.31,0.7150000000000001
4,17,13.0,Indiana Pacers*,66,242.3,35.7,81.4,0.438,5.9,16.1,0.368,29.7,65.3,0.455,20.4,26.1,0.782,12.5,31.4,43.9,18.6,7.9,5.4,14.0,21.7,97.7,0.636,East,2012,0.1977886977886978,True,18.7,44.3,4.8,10.1,19.3,18.57,26.67,2012-2014,Playoffs,0.19140225179119752,0.4534288638689867,0.25806451612903225,0.543010752688172
5,15,15.0,Los Angeles Lakers*,66,243.4,36.8,80.6,0.457,5.5,16.8,0.326,31.3,63.7,0.491,18.2,24.1,0.756,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,0.621,West,2012,0.2084367245657568,True,27.9,63.99999999999999,6.2,14.4,22.9,21.73,29.0,2012-2014,Playoffs,0.2867420349434738,0.65775950668037,0.27555555555555555,0.64
6,10,20.0,Memphis Grizzlies*,66,241.5,36.7,82.2,0.447,4.2,12.9,0.326,32.5,69.3,0.47,17.3,22.8,0.759,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0,0.621,West,2012,0.156934306569343,True,19.0,46.3,6.5,12.2,18.4,18.03,25.67,2012-2014,Playoffs,0.2,0.48736842105263156,0.3333333333333333,0.6256410256410256
7,13,17.0,Atlanta Hawks*,66,244.9,36.8,81.0,0.454,7.5,20.2,0.37,29.3,60.9,0.482,15.5,21.0,0.74,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6,0.606,East,2012,0.2493827160493827,True,18.8,50.2,4.9,12.7,21.1,19.5,27.91,2012-2014,Playoffs,0.1946169772256729,0.5196687370600415,0.21875000000000003,0.5669642857142857
8,16,14.0,Los Angeles Clippers*,66,241.9,37.0,81.3,0.455,7.8,21.8,0.357,29.2,59.5,0.49,15.8,23.3,0.68,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2,97.5,0.606,West,2012,0.2681426814268143,True,20.7,55.5,9.1,16.3,27.0,22.27,28.22,2012-2014,Playoffs,0.2123076923076923,0.5692307692307692,0.4333333333333333,0.7761904761904762
9,4,26.0,Boston Celtics*,66,241.5,35.5,77.1,0.46,5.5,15.0,0.367,30.0,62.1,0.483,15.4,19.8,0.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,0.591,East,2012,0.1945525291828793,False,19.4,49.400000000000006,11.7,19.1,20.4,19.17,29.78,2012-2014,Playoffs,0.21132897603485837,0.5381263616557735,0.49576271186440674,0.8093220338983051
10,29,1.0,Denver Nuggets*,66,243.0,39.0,81.9,0.476,6.6,19.9,0.332,32.4,62.0,0.522,19.6,26.7,0.735,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1,0.576,West,2012,0.2429792429792429,False,16.4,46.2,6.7,16.0,21.9,20.6,26.36,2012-2014,Playoffs,0.1575408261287224,0.44380403458213263,0.2791666666666667,0.6666666666666666
11,9,21.0,Orlando Magic*,66,241.9,34.5,78.2,0.441,10.2,27.0,0.375,24.3,51.2,0.475,15.1,22.8,0.66,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7,94.2,0.561,East,2012,0.3452685421994885,False,20.6,48.6,5.7,12.6,24.2,20.17,28.22,2012-2014,Playoffs,0.21868365180467092,0.5159235668789809,0.28500000000000003,0.63
12,18,12.0,New York Knicks*,66,241.5,35.8,80.8,0.443,7.8,23.3,0.336,28.0,57.5,0.487,18.3,24.8,0.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8,0.545,East,2012,0.2883663366336634,False,22.6,54.7,6.2,14.5,21.1,19.9,26.42,2012-2014,Playoffs,0.2310838445807771,0.5593047034764826,0.30845771144278605,0.7213930348258706
13,11,19.0,Dallas Mavericks*,66,243.4,36.3,82.0,0.443,7.5,22.2,0.339,28.8,59.8,0.482,15.6,20.2,0.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8,0.545,West,2012,0.2707317073170732,False,21.6,47.3,5.5,12.3,21.7,19.67,30.64,2012-2014,Playoffs,0.22546972860125264,0.49373695198329853,0.26315789473684215,0.5885167464114833
14,26,4.0,Utah Jazz*,66,244.9,38.2,83.8,0.456,4.1,12.8,0.323,34.1,71.0,0.48,19.1,25.3,0.754,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,0.545,West,2012,0.152744630071599,False,19.2,47.6,5.0,12.4,22.8,20.57,26.27,2012-2014,Playoffs,0.19257773319959878,0.477432296890672,0.2293577981651376,0.5688073394495413
15,7,23.0,Philadelphia 76ers*,66,241.1,37.4,83.6,0.448,5.3,14.6,0.362,32.2,69.0,0.466,13.5,18.2,0.742,10.7,32.5,43.2,22.0,8.0,5.2,11.2,17.5,93.6,0.53,East,2012,0.1746411483253588,False,14.9,41.2,5.5,13.5,20.2,19.07,24.18,2012-2014,Playoffs,0.1591880341880342,0.4401709401709402,0.25,0.6136363636363636
30,25,5.0,Miami Heat*,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,0.805,East,2013,0.2855297157622739,True,26.8,64.6,7.3,15.9,31.6,25.2,30.22,2012-2014,Playoffs,0.26044703595724006,0.6277939747327501,0.3173913043478261,0.691304347826087
31,27,3.0,Oklahoma City Thunder*,82,241.8,38.1,79.3,0.481,7.3,19.4,0.377,30.8,60.0,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,0.732,West,2013,0.244640605296343,True,28.1,65.3,7.4,13.5,28.3,23.87,26.86,2012-2014,Playoffs,0.26584673604541154,0.6177861873226111,0.3457943925233645,0.6308411214953271
